Reference,Value,Footprint,Qty,DNP,Mouser Part Number,Mouser Price/Stock
"C1,C4,C5,C16,C29",1u,Capacitor_SMD:C_0402_1005Metric,5,,,
C2,1.8nH,Capacitor_SMD:C_0402_1005Metric,1,,,
"C6,C7,C8,C10,C11,C13,C14,C18,C20,C25,C26,C27",100n,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,12,,,
C15,10n,Capacitor_SMD:C_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1,,,
"C19,C28",4.7u,Capacitor_SMD:C_0402_1005Metric,2,,,
"D1,D2",PESD5V0S1UL-QYL,samacsys2:PESD5V0S1ULQYL,2,,771-PESD5V0S1UL-QYL,https://www.mouser.co.uk/ProductDetail/Nexperia/PESD5V0S1UL-QYL?qs=rQFj71Wb1eWaKKPWHDNuZA%3D%3D
IC1,TPS22960RSER,samacsys2:TPS22960RSER,1,,595-TPS22960RSER,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS22960RSER?qs=EQxOuqCyzqQpKHLEcq5RSg%3D%3D
IC4,MAX-M10S-00B,samacsys:MAXM10S00B,1,,377-MAX-M10S-00B,https://www.mouser.co.uk/ProductDetail/u-blox/MAX-M10S-00B?qs=A6eO%252BMLsxmT0PfQYPb7LLQ%3D%3D
IC5,LTC4065EDC#TRMPBF,samacsys2:SON50P200X200X80-7N-D,1,,584-LTC4065EDCTRMPBF,https://www.mouser.co.uk/ProductDetail/Analog-Devices/LTC4065EDCTRMPBF?qs=hVkxg5c3xu%252BjxEjwXqRRgQ%3D%3D
IC6,W25Q128JVPIQ,samacsys2:SON127P600X500X80-9N-D,1,,454-W25Q128JVPIQ,https://www.mouser.co.uk/ProductDetail/Winbond/W25Q128JVPIQ?qs=qSfuJ%252Bfl%2Fd676hAD%252B1JSfw%3D%3D
J1,USB4720-03-A,samacsys2:USB472003A,1,,640-USB472003A,https://www.mouser.co.uk/ProductDetail/GCT/USB4720-03-A?qs=Z%252BL2brAPG1IK%252BbxHmYg8zQ%3D%3D
J2,503548-0622,samacsys2:5035480622,1,,538-503548-0622,https://www.mouser.co.uk/ProductDetail/Molex/503548-0622?qs=byeeYqUIh0Mxpka6P7ttIA%3D%3D
L1,5.1nH,Inductor_SMD:L_0402_1005Metric,1,,,
LEDBLUE1,150040BS73240,LED_SMD:LED_0402_1005Metric,1,,710-150040BS73240,https://www.mouser.fr/ProductDetail/Wurth-Elektronik/150040BS73240?qs=fAHHVMwC%252BbhvR%252BdBIVVrgw%3D%3D
LEDGREEN1,150040GS73240,LED_SMD:LED_0402_1005Metric,1,,710-150040GS73240,https://www.mouser.fr/ProductDetail/Wurth-Elektronik/150040GS73240?qs=fAHHVMwC%252Bbgmx0FZHKuCJg%3D%3D
LEDRED1,150040RS73240,LED_SMD:LED_0402_1005Metric,1,,710-150040GS73240,https://www.mouser.fr/ProductDetail/Wurth-Elektronik/150040GS73240?qs=fAHHVMwC%252Bbgmx0FZHKuCJg%3D%3D
"R1,R2,R4,R11,R12",510R,Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,5,,603-RC0201JR-07510RL,https://www.mouser.fr/ProductDetail/YAGEO/RC0201JR-07510RL?qs=Q4gDqC5t5%2FDAdrMT21SmCw%3D%3D
"R3,R10,R16,R19",470k,Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,4,,603-AC0201FR-07470KL,https://www.mouser.fr/ProductDetail/YAGEO/AC0201FR-07470KL?qs=NgbZBzc1CyH0J6cte9SzFw%3D%3D
"R5,R6,R7,R8,R9,R13,R17",20k,Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,7,,603-AC0201FR-0720KL,https://www.mouser.fr/ProductDetail/YAGEO/AC0201FR-0720KL?qs=NgbZBzc1CyEbaKDOC3%252BFfg%3D%3D
R18,120k,Resistor_SMD:R_0201_0603Metric_Pad0.64x0.40mm_HandSolder,1,,603-RC0201JR-07120KL,https://www.mouser.fr/ProductDetail/YAGEO/RC0201JR-07120KL?qs=50q%252BZR8McTE42SrRwjbjMg%3D%3D
